Empresas,Salários em R$
Itaú Unibanco (Itaú BBA e Rede),6708.0
Stone,5589.0
Accenture,3100.0
Lojas Renner,6850.0
americanas s.a.,5647.0
AUTOGLASS (Brazil),4000.0
Unimed,4200.0
Hospital Israelita Albert Einstein,6731.0
IBM,5191.0
Sicredi,4963.0
QuintoAndar,7423.0
act digital,9000.0
Eleflow Big Data,8000.0
Atento (Brazil),2487.0
Atento,4909.0
L'Oréal,6786.0
Ambev Tech,5205.0
Sercom Contact Center,1439.0
DM,4800.0
ASAAS,7553.0
