Empresas,Salários em R$
Porto,8000.0
Santander,6867.0
ExxonMobil,4605.0
Olist,5537.0
Tmov,6000.0
TOTVS,4500.0
Claro,4300.0
V4 Company,3000.0
Data Mundo,4500.0
PicPay,8171.0
Semantix,7087.0
Data Mundo,4500.0
Ambev,4000.0
Ferreira Costa,4175.0
Compass Uol,9060.0
Vivo (Telefônica Brasil),6552.0
Kyros Tecnologia,3063.0
Raízen,5400.0
Bloomberg L.P.,11421.0
Foursys Brasil,8250.0
